# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_JM1WPEZD","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",8.586,9.98142,"{""Sniff_Location_Subject"":""0""}"
"1_H8lJd247","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",9.98142,11.339,"{""Sniff_Location_Subject"":""1""}"
"1_ka9xxNX4","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",11.339,11.98142,"{""Sniff_Location_Subject"":""3""}"
"1_0RwzkXyQ","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",11.981,13.96059,"{""Sniff_Location_Subject"":""6""}"
"1_QNgyP3pe","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",16.08559,16.62726,"{""Sniff_Location_Subject"":""6""}"
"1_SD86nZXH","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",16.627,18.91892,"{""Sniff_Location_Subject"":""0""}"
"1_8pYKDryg","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",18.919,21.35642,"{""Sniff_Location_Subject"":""6""}"
"1_R2W5zJOB","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",22.29392,27.06476,"{""Sniff_Location_Subject"":""3""}"
"1_dbGKb9nS","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",27.065,29.10642,"{""Sniff_Location_Subject"":""8""}"
"1_9MX4oBAA","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",29.106,30.08559,"{""Sniff_Location_Subject"":""0""}"
"1_SrbrtT3X","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",30.086,34.16892,"{""Sniff_Location_Subject"":""2""}"
"1_Bvhkawca","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",34.169,34.83559,"{""Sniff_Location_Subject"":""0""}"
"1_JDJXTd84","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",41.10642,46.06476,"{""Sniff_Location_Subject"":""3""}"
"1_4SD0XRaB","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",34.93976,36.64809,"{""Sniff_Location_Subject"":""3""}"
"1_WJcqDZQM","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",36.648,41.12726,"{""Sniff_Location_Subject"":""1""}"
"1_f15AYYCX","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",46.065,50.41892,"{""Sniff_Location_Subject"":""6""}"
"1_4B6o5qZs","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",50.419,52.54392,"{""Sniff_Location_Subject"":""6""}"
"1_3hU25W2a","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",60.202,65.08559,"{""Sniff_Location_Subject"":""1""}"
"2_oIbHCKLY","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",7.165,12.31476,"{""Sniff_Location_Subject"":""3""}"
"2_tWo8Am4h","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",12.315,14.77309,"{""Sniff_Location_Subject"":""1""}"
"2_JHK1D8Vw","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",14.773,16.48142,"{""Sniff_Location_Subject"":""0""}"
"2_1XowpNVV","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",16.481,18.96059,"{""Sniff_Location_Subject"":""3""}"
"2_ndnITtXg","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",18.961,20.48142,"{""Sniff_Location_Subject"":""1""}"
"2_smBdbrw8","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",20.481,21.37726,"{""Sniff_Location_Subject"":""8""}"
"2_dkTUwUWN","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",21.377,22.60642,"{""Sniff_Location_Subject"":""6""}"
"2_3XPtX6Gw","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",25.19,29.08559,"{""Sniff_Location_Subject"":""3""}"
"2_d9PMjNt6","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",29.086,46.41892,"{""Sniff_Location_Subject"":""0""}"
"2_6xRK5fia","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",47.41892,48.52309,"{""Sniff_Location_Subject"":""0""}"
"2_0FsOdfYi","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",78.383,89.93976,"{""Sniff_Location_Subject"":""1""}"
"2_5Auh09Yq","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",94.609,98.00226,"{""Sniff_Location_Subject"":""0""}"
"2_NMgnh2Wx","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",98.62726,99.85642,"{""Sniff_Location_Subject"":""6""}"
"2_f3Q5tXIZ","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",99.856,105.48142,"{""Sniff_Location_Subject"":""1""}"
"2_Tg5UbCva","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",105.481,110.10642,"{""Sniff_Location_Subject"":""2""}"
"3_XEt2DCXE","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",9.023,14.39809,"{""Sniff_Location_Subject"":""0""}"
"3_OurPJxSX","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",15.794,17.37726,"{""Sniff_Location_Subject"":""1""}"
"3_1ksShRku","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",17.377,18.79392,"{""Sniff_Location_Subject"":""2""}"
"3_01jVrjaC","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",18.794,20.71059,"{""Sniff_Location_Subject"":""1""}"
"3_nOiuZEZn","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",20.711,21.54392,"{""Sniff_Location_Subject"":""2""}"
"3_B8edyFKa","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",23.16892,24.87726,"{""Sniff_Location_Subject"":""8""}"
"3_O4VOlzTf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",24.877,28.75226,"{""Sniff_Location_Subject"":""0""}"
"3_JuHdedF1","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",28.752,29.56476,"{""Sniff_Location_Subject"":""3""}"
"3_Ner4WIpf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",29.565,39.16892,"{""Sniff_Location_Subject"":""0""}"
"3_R3Xla0EA","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",40.502,42.16892,"{""Sniff_Location_Subject"":""6""}"
"3_FGBCllxf","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",55.16892,57.14809,"{""Sniff_Location_Subject"":""6""}"
"3_sQHAmVXb","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",57.148,61.31476,"{""Sniff_Location_Subject"":""3""}"
"3_TY7lI6dX","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",61.315,62.39809,"{""Sniff_Location_Subject"":""1""}"
"3_H8wY5LF8","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",62.398,63.02309,"{""Sniff_Location_Subject"":""3""}"
"3_tbzx7VvR","[""14650_220419_7_cf_1_stacked_71950_81350.mp4""]",63.023,63.77309,"{""Sniff_Location_Subject"":""0""}"
"4_OtIrvivj","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",39.783,40.783,"{""Sniff_Location_Subject"":""0""}"
"4_T2ahYeyY","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",40.783,41.43976,"{""Sniff_Location_Subject"":""1""}"
"4_ypcNrIX3","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",41.44,44.35642,"{""Sniff_Location_Subject"":""8""}"
