# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Activity_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of subject","options":{"0":"sniff_other","1":"sniff_air","2":"rest","3":"looking","4":"grooming"},"default_option_id":""},"2":{"aname":"Activity_Stimuli","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of stimuli","options":{"0":"sniff_other","1":"sniff_air","2":""},"default_option_id":""},"3":{"aname":"Sniff_Location_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Location subject is sniffing","options":{"0":"back","1":"neck","2":"left_armpit","3":"right_armpit","4":"left_thigh","5":"right_thigh","6":"anogenital","7":"air","8":"unclear"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_JM1WPEZD","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[8.586,9.98142]","[]","{""3"":""0""}"
"1_H8lJd247","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[9.98142,11.339]","[]","{""3"":""1""}"
"1_ka9xxNX4","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[11.339,11.98142]","[]","{""3"":""3""}"
"1_0RwzkXyQ","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[11.981,13.96059]","[]","{""3"":""6""}"
"1_QNgyP3pe","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[16.08559,16.62726]","[]","{""3"":""6""}"
"1_SD86nZXH","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[16.627,18.91892]","[]","{""3"":""0""}"
"1_8pYKDryg","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[18.919,21.35642]","[]","{""3"":""6""}"
"1_R2W5zJOB","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[22.29392,27.06476]","[]","{""3"":""3""}"
"1_dbGKb9nS","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[27.065,29.10642]","[]","{""3"":""8""}"
"1_9MX4oBAA","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[29.106,30.08559]","[]","{""3"":""0""}"
"1_SrbrtT3X","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[30.086,34.16892]","[]","{""3"":""2""}"
"1_Bvhkawca","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[34.169,34.83559]","[]","{""3"":""0""}"
"1_JDJXTd84","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[41.10642,46.06476]","[]","{""3"":""3""}"
"1_4SD0XRaB","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[34.93976,36.64809]","[]","{""3"":""3""}"
"1_WJcqDZQM","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[36.648,41.12726]","[]","{""3"":""1""}"
"1_f15AYYCX","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[46.065,50.41892]","[]","{""3"":""6""}"
"1_4B6o5qZs","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[50.419,52.54392]","[]","{""3"":""6""}"
"1_3hU25W2a","[""14650_220403_13_colony_1_stacked_151650_161400.mp4""]",0,"[59.10642,64.93976]","[]","{""3"":""1""}"
"2_oIbHCKLY","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[7.165,12.31476]","[]","{""3"":""3""}"
"2_tWo8Am4h","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[12.315,14.77309]","[]","{""3"":""1""}"
"2_JHK1D8Vw","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[14.773,16.48142]","[]","{""3"":""0""}"
"2_1XowpNVV","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[16.481,18.96059]","[]","{""3"":""3""}"
"2_ndnITtXg","[""14650_220407_3_colony_1_stacked_32550_42300.mp4""]",0,"[18.961,20.48142]","[]","{""3"":""1""}"
